Source,Target,Type,Id,Label,timeset,Weight
"Алексей Александрович",Арестанты,Undirected,528,,,2
"Алексей Александрович",Вахмистр,Undirected,529,,,7
"Алексей Александрович",Вахрамеев,Undirected,530,,,8
"Алексей Александрович",Галкин,Undirected,531,,,4
"Алексей Александрович",Жомов,Undirected,532,,,1
"Алексей Александрович",Ивашкин,Undirected,533,,,2
"Алексей Александрович",Молодая арестантка,Undirected,534,,,2
"Алексей Александрович",Пожилая арестантка,Undirected,535,,,2
"Алексей Александрович",Председатель,Undirected,536,,,12
"Алексей Александрович",Секретарь,Undirected,537,,,14
"Алексей Александрович",Семен Иванович,Undirected,538,,,20
"Алексей Александрович",Солдаты,Undirected,539,,,2
"Алексей Александрович",Швейкин,Undirected,540,,,3
"Арестанты",Вахмистр,Undirected,541,,,2
"Арестанты",Вахрамеев,Undirected,542,,,2
"Арестанты",Галкин,Undirected,543,,,2
"Арестанты",Молодая арестантка,Undirected,544,,,2
"Арестанты",Пожилая арестантка,Undirected,545,,,2
"Арестанты",Председатель,Undirected,546,,,2
"Арестанты",Секретарь,Undirected,547,,,2
"Арестанты",Семен Иванович,Undirected,548,,,2
"Арестанты",Солдаты,Undirected,549,,,2
"Арестанты",Швейкин,Undirected,550,,,2
"Вахмистр",Вахрамеев,Undirected,551,,,6
"Вахмистр",Галкин,Undirected,552,,,3
"Вахмистр",Жомов,Undirected,553,,,1
"Вахмистр",Молодая арестантка,Undirected,554,,,2
"Вахмистр",Пожилая арестантка,Undirected,555,,,2
"Вахмистр",Председатель,Undirected,556,,,8
"Вахмистр",Секретарь,Undirected,557,,,8
"Вахмистр",Семен Иванович,Undirected,558,,,7
"Вахмистр",Солдаты,Undirected,559,,,2
"Вахмистр",Швейкин,Undirected,560,,,2
"Вахрамеев",Галкин,Undirected,561,,,3
"Вахрамеев",Жомов,Undirected,562,,,1
"Вахрамеев",Ивашкин,Undirected,563,,,1
"Вахрамеев",Молодая арестантка,Undirected,564,,,2
"Вахрамеев",Пожилая арестантка,Undirected,565,,,2
"Вахрамеев",Председатель,Undirected,566,,,7
"Вахрамеев",Секретарь,Undirected,567,,,7
"Вахрамеев",Семен Иванович,Undirected,568,,,8
"Вахрамеев",Солдаты,Undirected,569,,,2
"Вахрамеев",Швейкин,Undirected,570,,,2
"Галкин",Молодая арестантка,Undirected,571,,,2
"Галкин",Пожилая арестантка,Undirected,572,,,2
"Галкин",Председатель,Undirected,573,,,3
"Галкин",Секретарь,Undirected,574,,,3
"Галкин",Семен Иванович,Undirected,575,,,5
"Галкин",Солдаты,Undirected,576,,,2
"Галкин",Швейкин,Undirected,577,,,2
"Жомов",Председатель,Undirected,578,,,1
"Жомов",Секретарь,Undirected,579,,,1
"Жомов",Семен Иванович,Undirected,580,,,1
"Ивашкин",Секретарь,Undirected,581,,,1
"Ивашкин",Семен Иванович,Undirected,582,,,3
"Молодая арестантка",Пожилая арестантка,Undirected,583,,,2
"Молодая арестантка",Председатель,Undirected,584,,,2
"Молодая арестантка",Секретарь,Undirected,585,,,2
"Молодая арестантка",Семен Иванович,Undirected,586,,,2
"Молодая арестантка",Солдаты,Undirected,587,,,2
"Молодая арестантка",Швейкин,Undirected,588,,,2
"Пожилая арестантка",Председатель,Undirected,589,,,2
"Пожилая арестантка",Секретарь,Undirected,590,,,2
"Пожилая арестантка",Семен Иванович,Undirected,591,,,2
"Пожилая арестантка",Солдаты,Undirected,592,,,2
"Пожилая арестантка",Швейкин,Undirected,593,,,2
"Председатель",Секретарь,Undirected,594,,,11
"Председатель",Семен Иванович,Undirected,595,,,12
"Председатель",Солдаты,Undirected,596,,,2
"Председатель",Швейкин,Undirected,597,,,2
"Секретарь",Семен Иванович,Undirected,598,,,16
"Секретарь",Солдаты,Undirected,599,,,2
"Секретарь",Швейкин,Undirected,600,,,2
"Семен Иванович",Солдаты,Undirected,601,,,2
"Семен Иванович",Швейкин,Undirected,602,,,3
"Солдаты",Швейкин,Undirected,603,,,2
